"Microrregiao","Y_Media","Y_SD","X1_Media","X2_Media","X3_Media"
"ALMENARA",25.5652173913043,8.53775618253479,0.489010235797818,0.931647042929197,0.0788661665994288
"SAO_JOAO_DEL_REI",25.3478260869565,12.4228846586092,0.44165721916407,0.911571444750766,0.0961384336984395
"BARBACENA",25.2608695652174,14.535903484771,0.352760314335577,0.989271034858783,0.111977235835962
"PATOS_DE_MINAS",23.7826086956522,5.71247853975782,0.360093907207815,0.98653863412426,0.0905956643257554
"ITABIRA",22.9130434782609,9.35129083689549,0.315596638220962,0.983283446056645,0.09546789071676
"CURVELO",22.1739130434783,7.81985918213739,0.407358805330349,0.981510845012456,0.0909049466106086
"GUANHAES",22.1739130434783,11.4560510962272,0.339796637297085,0.977865237554945,0.0900896389816306
"JANUARIA",22.1739130434783,6.51328833241595,0.481863818999655,0.976119153715261,0.0812563867287235
"SALINAS_TAIOBEIRAS",21.3913043478261,6.22852040240393,0.354246434786708,0.947895423443731,0.0832634495347577
"DIAMANTINA",21.2173913043478,9.16493575704871,0.405304183299337,0.993065974409702,0.0961795714434968
"PIRAPORA",20.7391304347826,8.98087559663385,0.365615096751466,0.987779297541687,0.0841287472338445
"SAO_LOURENCO_CAXAMBU",20.2173913043478,9.48662465953144,0.255781830469358,0.991239311285354,0.0843252917240137
"VESPASIANO",19.8260869565217,5.67011442816267,0.384672116446237,0.988554712096311,0.101979295101582
"VARGINHA",18.8695652173913,8.58806967318398,0.201179438821792,0.968168550016151,0.0944401239416401
"PONTE_NOVA",18.8260869565217,8.25531329680821,0.357836279685676,0.988880460735292,0.0910285610565515
"ITAJUBA",18.4782608695652,9.33161568986846,0.26050252426191,0.987927787211303,0.0945227318577441
"PARA_DE_MINAS",18.1304347826087,4.77021390625855,0.379135606181225,0.98214712001855,0.091295239275184
"MURIAE",17.9130434782609,7.00592634507166,0.278995892499422,0.778976566549929,0.0819796290517326
"ITUIUTABA",17.6521739130435,7.2086355766865,0.241283679930776,0.987181756262436,0.0786184902097162
"MINAS_NOVAS_TURMALINA",17.4782608695652,7.78033397984589,0.413917674928611,0.978376761486457,0.0847731599582002
"JOAO_MONLEVADE",17.3913043478261,7.94720723064388,0.300278880283871,0.983946368229383,0.0976229309404644
"ARAXA",16.8695652173913,5.34538329118168,0.289845019212426,0.974077986886523,0.0941638857501227
"LEOPOLDINA_CATAGUASES",16.5217391304348,6.78145576498808,0.318196147174022,0.98423504271683,0.0824536185369159
"TRES_PONTAS",16.4347826086957,7.83248530716506,0.242820317741982,0.972319085847405,0.0945841403589865
"LAVRAS",16.3478260869565,6.24942685119039,0.301294313314527,0.995178722933646,0.0998612444076979
"UNAI",16.304347826087,4.28989068104724,0.431309974252418,0.981951767328222,0.0759797312639156
"TRES_CORACOES",16.2173913043478,6.88843907466528,0.269740558196866,0.985596213642441,0.0951099833831081
"CARANGOLA",15.9130434782609,9.11498787451575,0.271113864992814,0.968070460822853,0.0970224143606781
"PASSOS_PIUMHI",15.4782608695652,7.03801085804396,0.303166792696713,0.988273063808422,0.086956639294549
"POCOS_DE_CALDAS",15.1304347826087,5.12839109827995,0.244957800332862,0.985155820272558,0.0903678656453065
"GUAXUPE",15.0434782608696,8.75670268407197,0.152293411530377,0.979658801026446,0.0879255770147464
"PATROCINIO_MONTE_CARMELO",12.8695652173913,4.41386604222819,0.266563811770681,0.991854154104237,0.0863195767361658
"FRUTAL_ITURAMA",12.8260869565217,4.61865952526019,0.320038934706368,0.981213195699163,0.0866080182765869
"SANTO_ANTONIO_DO_AMPARO",12.5217391304348,6.91421174904789,0.37329810501267,0.966968255797686,0.0930923552372857
"SAO_SEBASTIAO_DO_PARAISO",12.5217391304348,4.99881408861043,0.177658867222145,0.983885910962917,0.0913710123062177
"ITABIRITO",12.3913043478261,5.0608940140398,0.383972710526591,0.925393363367475,0.0990876688731179
"BOM_DESPACHO",12.0434782608696,3.89029399297517,0.36370228650989,0.98894423477236,0.0860108292841224
"ARACUAI",11.5652173913043,5.54998842715027,0.422093620886984,0.952063082473751,0.0935123762530715
"ITAUNA",10.7391304347826,4.24496912189592,0.49805028375634,0.994956081769188,0.0899557417168859
"PECANHA",10.5217391304348,4.23051216776185,0.506689134029427,0.973433990011775,0.0733532618459871
"VICOSA",10.0434782608696,7.17621235161105,0.37376942442677,0.98649731427664,0.0868477178272118
