"Microrregiao","Media_X2","Min_X2","Max_X2","SD_X2"
"PARA_DE_MINAS",0.98214712001855,0.929521276595745,0.999582637729549,0.0163191999669007
"UNAI",0.981951767328222,0.922979797979798,0.995337007206443,0.0177905598606504
"CURVELO",0.981510845012456,0.91866028708134,1,0.0244779153397427
"FRUTAL_ITURAMA",0.981213195699163,0.912571132953958,1,0.0177162963544619
"UBERLANDIA_ARAGUARI",0.980500347005342,0.901661549575582,0.999037704487796,0.0316607481722805
"SANTOS_DUMONT",0.980085322125728,0.948853615520282,1,0.0161097624039119
"GUAXUPE",0.979658801026446,0.942372881355932,0.998859098687964,0.0158226319472685
"IPATINGA",0.979517217178848,0.713733468972533,1,0.0585296995599123
"MINAS_NOVAS_TURMALINA",0.978376761486457,0.950991831971995,0.993702770780856,0.0119371873537341
"GUANHAES",0.977865237554945,0.944511459589867,0.996230479267636,0.013872311388248
"JANUARIA",0.976119153715261,0.907101727447217,0.99919028340081,0.0207572465133924
"ARAXA",0.974077986886523,0.922461230615308,0.999081304547543,0.0164481732589453
"PECANHA",0.973433990011775,0.913341645885287,1,0.0207001039148503
"TRES_PONTAS",0.972319085847405,0.898977751052315,1,0.0290763749316728
"SAO_JOAO_NEPOMUCENO_BICAS",0.969154784206608,0.914315569487983,0.994736842105263,0.0235624795662029
"FRANCISCO_SA",0.968765714182205,0.902183406113537,1,0.0295613587122584
"VARGINHA",0.968168550016151,0.833957553058677,1,0.0371901374520261
"CARANGOLA",0.968070460822853,0.850452368281001,1,0.0301934351976276
"BRASILIA_DE_MINAS_SAO_FRANCISCO",0.967253831314961,0.881514940931202,0.996898690558236,0.0316613727666026
"SANTO_ANTONIO_DO_AMPARO",0.966968255797686,0.923631990378833,1,0.0290124177708511
"AGUAS_FORMOSAS",0.965614549718586,0.81433607520564,0.994462901439646,0.036950160120908
"POUSO_ALEGRE",0.963074462745233,0.628441171313344,0.994114762138303,0.0734818641998526
"MANHUACU",0.961978204936676,0.827359421243012,1,0.0443362512394051
"JUIZ_DE_FORA_LIMA_DUARTE_BOM_JARDIM_DE_MINAS",0.961497367524429,0.892778085224128,0.999727742989382,0.0367286707860783
"PEDRA_AZUL",0.959230625341728,0.785202863961814,1,0.0502898905664566
"ARACUAI",0.952063082473751,0.819347319347319,0.998921251348436,0.0446621203710992
"SALINAS_TAIOBEIRAS",0.947895423443731,0.698005698005698,0.999583159649854,0.0754803199454804
"PADRE_PARAISO",0.946525350648453,0.896296296296296,0.994123408423115,0.0321024990626949
"NANUQUE",0.944952063824175,0.737824675324675,0.997552019583843,0.070258692356579
"CORACAO_DE_JESUS",0.937296221818203,0.483870967741935,1,0.12428138419729
"ALMENARA",0.931647042929197,0.799445471349353,0.982851543361097,0.0484710168686349
"ITABIRITO",0.925393363367475,0.650479616306954,0.99535192563081,0.0772932447061185
"SAO_JOAO_DEL_REI",0.911571444750766,0.351556264964086,1,0.178629955703116
"UBERABA",0.894997815698938,0.619056936020348,1,0.0998273743676941
"SETE_LAGOAS",0.892930173708019,0.727307471813491,0.998790225018147,0.0884834328257856
"MURIAE",0.778976566549929,0.105733824302998,1,0.328041544997848
