"Microrregiao","2000","2022","Mudanca_Absoluta","Mudanca_Relativa"
"BETIM",0.95089475926715,0.995849262697979,0.0449545034308297,4.72760029358832
"SAO_JOAO_DEL_REI",0.952170062001771,0.99867080194949,0.046500739947719,4.88365910706742
"TRES_PONTAS",0.953045685279188,1,0.0469543147208121,4.92676431424766
"TRES_CORACOES",0.951762523191095,0.99932157394844,0.0475590507573449,4.99694509906606
"GOVERNADOR_VALADARES",0.950083447124867,0.998088360237893,0.0480049131130257,5.05270492379355
"VESPASIANO",0.949828607042692,0.99822852081488,0.048399913772188,5.09564708972937
"PIRAPORA",0.949521002210759,0.998367791077258,0.0488467888664988,5.14436107814039
"UBA",0.950605778191985,1,0.0493942218080149,5.19607843137255
"ARACUAI",0.939137785291631,0.993429697766097,0.0542919124744657,5.78103802495886
"TEOFILO_OTONI_MALACACHETA_ITAMBACURI",0.937076111529766,0.992421946044256,0.0553458345144894,5.90622616813248
"ITABIRA",0.93672131147541,0.995065789473684,0.0583444779982744,6.22858445553856
"JUIZ_DE_FORA_LIMA_DUARTE_BOM_JARDIM_DE_MINAS",0.939266659098649,0.999066438462735,0.0597997793640862,6.36664559364558
"MONTES_CLAROS_BOCAIUVA",0.937712498300014,0.998784933171324,0.0610724348713109,6.51291680360767
"CORACAO_DE_JESUS",0.938129496402878,1,0.0618705035971223,6.59509202453988
"CURVELO",0.930293896006029,0.998013902681231,0.0677200066752027,7.27942072563743
"PARA_DE_MINAS",0.929521276595745,0.99790004199916,0.0683787654034154,7.3563421435434
"SANTO_ANTONIO_DO_AMPARO",0.927971718957137,0.997368421052632,0.069396702095495,7.47832080200501
"FRANCISCO_SA",0.928571428571429,0.998571428571429,0.07,7.53846153846153
"CORONEL_FABRICIANO",0.916176846409405,0.998575498575499,0.082398652166094,8.99374967715274
"SALINAS_TAIOBEIRAS",0.903346994535519,0.995661605206074,0.0923146106705546,10.2191750488992
"UBERABA",0.903939886271324,0.999561114768488,0.0956212284971639,10.5782729525957
"BRASILIA_DE_MINAS_SAO_FRANCISCO",0.881514940931202,0.985714285714286,0.104199344783084,11.8204853876908
"NANUQUE",0.857932123125493,0.993556701030928,0.135624577905435,15.8083109665304
"CARANGOLA",0.850452368281001,0.98981077147016,0.13935840318916,16.3863854563474
"MANHUACU",0.827359421243012,0.998766700924974,0.171407279681962,20.7173902032133
"MURIAE",0.794037940379404,0.995209580838323,0.20117164045892,25.3352680304919
"SETE_LAGOAS",0.727307471813491,0.998790225018147,0.271482753204655,37.3270953105613
"IPATINGA",0.713733468972533,1,0.286266531027467,40.1083238312429
